prediction,actual
"stocks closed higher on wednesday as investors eyed better-than-expected data and remained optimistic on resolution between greece and its creditors. ( dow futures leaped more than 160 points on morning news that tsipras accepted lenders' conditions in a two-page letter originally sent to the heads of the european commission that requested only minor revisions to their suggestions on pensions and tax reforms. ""the reason futures (were) strong this morning is the idea we might have a resolution on greece that keeps it in the euro zone,"" said james meyer, chief investment officer at tower bridge advisors. "" dollar advanced nearly 1 percent against major world currencies, with the euro at $1.105. ""i think the markets are going to discount everything that happened on monday,"" he said. "" stocks closed mildly higher on tuesday, with the s&p 500 eking out its narrowest gain on record for the first half of the year. the major indices plunged nearly 2 percent or more on monday for their worst day of the year as news of a july 5 referendum in greece negatively surprised investors. no other meeting is expected before sunday's referendum.",u.s. stocks closed higher as investors eyed better-than-expected data and remained optimistic on a deal between greece and its creditors.
"photo: gregory shamus, getty images

cleveland, oh - december 6: austin davis #7 of the cleveland browns throws a first quarter pass while playing the cincinnati bengalsat firstenergy stadium on december 6, 2015 in cleveland, ohio. ( photo by

shaun draughn scored on a 1-yard run in the second. austin davis, left, got the start for the browns over johnny manziel in sunday’s 37-3 loss to the bengals, which dropped cleveland to 2-10.","facts and figures from 49ers’ win over the bears  sunday’s win featured a large number of firsts:  having won on the road for the first time this season, the 49ers probably will be favored to make it two in a row when they play the browns in cleveland on sunday.  austin davis, left, got the start for the browns over johnny manziel in sunday’s 37-3 loss to the bengals, which dropped cleveland to 2-10.  noteworthy stats from sunday’s game:  tackles by linebacker navorro bowman — the fifth time in the past eight games that he’s had at least 10.  td catches of 70-plus yards for torrey smith this year, the first s.f.  wide receiver to do it since john taylor (1989)."
"photo: scott strazzante, the chronicle

lb wilhoite signs one-year deal to stay with 49ers

niners inside linebacker michael wilhoite, a restricted free agent, has signed his one-year qualifying offer from the team and will aim to assume a starting role for the third straight season. in october, the 49ers traded a sixth-round pick and center nick easton to the vikings for hodges, who had 39 tackles in four starts after wilhoite was injured. on saturday, general manager trent baalke was asked why he didn’t address the position, which was weakened when willis and chris borland retired last year.","niners inside linebacker michael wilhoite, a restricted free agent, has signed his one-year qualifying offer from the team and will aim to assume a starting role for the third straight season.  wilhoite, 29, had 85 tackles and one interception in 12 starts last year before he was sidelined with a season-ending ankle injury.  in 2014, when bowman was sidelined with a knee injury, wilhoite replaced him and had 87 tackles and two interceptions.  in october, the 49ers traded a sixth-round pick and center nick easton to the vikings for hodges, who had 39 tackles in four starts after wilhoite was injured.  the 49ers did not select an inside linebacker any of their 11 draft picks."
"charter communications is nearing an agreement with banks to raise funds for a bid for time warner cable, the wall street journal reported, citing people familiar with the situation.","charter communications is nearing an agreement with banks to raise funds for a bid for time warner cable, according to a report."
"swift, the global financial network that banks use to transfer billions of dollars every day, warned its customers on monday that it was aware of “a number of recent cyber incidents” where attackers had sent fraudulent messages over its system. the disclosure came as law enforcement authorities in bangladesh and elsewhere continued to investigate the february cyber theft of $81 million from a bangladesh bank account at the new york federal reserve bank. swift spokeswoman natasha deteran told reuters that the commonality in these cases was that internal or external attackers compromised the banks’ own environments to obtain valid operator credentials.",the malware was probably used by hackers in the bangladesh bank heist.
"scarlett johansson says dylan farrow was ""irresponsible"" in naming her in an open letter that slammed the film industry for its silence over claims she was sexually abused by woody allen. but johansson, who's starred in three of allen's movies, told the guardian it was ""irresponsible"" of farrow to name and shame actors who know nothing about the case. ""i think it's irresponsible to take a bunch of actors that will have a google alert on and to suddenly throw their name into a situation none of us could possibly knowingly comment on."" i mean, it's all guesswork,"" she told the british newspaper.","scarlett johansson says dylan farrow was ""irresponsible"" in naming her in an open letter that slammed the film industry for its silence over claims she was sexually abused by woody allen."
"the answer is maybe -- but they can't do anything that you couldn't do yourself, for free. so if a credit repair company promises to remove negative information such as a bankruptcy or judgment, and they want money up front to do it -- run. many consumers have lost hundreds if not thousands of dollars to scammers who take their money and do nothing to improve their credit. before you hire anyone, remember this: the sad truth is that accurate negative information stays on your report for seven years. all consumers are entitled to a free copy of their reports with the three major credit reporting bureaus (experian, equifax and transunion) every 12 months at www.annualcreditreport.com. send it by certified mail, return receipt requested. you also should contact the company that provided the inaccurate information so they can correct it.","the answer is maybe -- but they can't do anything that you couldn't do yourself, for free."
"filing for unemployment benefits can be tricky. remember that each state sets its own laws on such things, so these suggested terms may not work everywhere. if you lost your job through no fault of your own because the company is downsizing, then this is the term to use. this is basically the same as a layoff, and puts the burden of proof on the employer. go with what you were told by your employer when you lost your job, said jill pugh, an employment law attorney in seattle. if you were fired but tell the unemployment department that you were laid off, you could be accused of fraud, which could result in penalties beyond paying back any unemployment benefits you've collected, pugh said. but because the employee didn't do it willfully, they can still get benefits. ordinary negligence is not generally considered gross misconduct. if a california claimant was discharged or quit due to an 'irresistible' compulsion to use intoxicants, he or she may be denied benefits. it's a difficult word to put on an unemployment application and one you want to avoid if possible, but it shouldn't stop you if you did nothing wrong.","filing for unemployment benefits can be tricky. if you're lucky and haven't lost your job before, it can be a difficult proce  to wade through the red tape. some states, such a"
"toto, i’ve a feeling we’re not in alicia-ville anymore. i’m interested in seeing how the material develops, and whether, in the midst of all the grotesquery, creators michelle and robert king can get us to care about the characters, including tony shalhoub’s republican senator. in the coming weeks, the writers will need to remember that we are not among those referred to by their title.","”braindead” is an interesting and ambitious effort to blend political dealings with alien horrors. sometimes it works, sometimes it doesn’t."
"16— a senior editor at the new republic has published a column on the internet that deplores the violence in the film ''kill bill'' and criticizes harvey weinstein, the co-chairman of miramax, which released the film, and michael eisner, chairman of the walt disney company, as ''jewish executives'' who ''worship money above all else.'' ''yes, there are plenty of christian and other hollywood executives who worship money above all else, promoting for profit the adulation of violence,'' mr. peter beinart, the editor of the new republic, said: ''gregg made a mistake. easterbrook said he wrote a column last week about mel gibson's coming film ''passion,'' and added: ''i raised the issue that mel gibson professes to be an ardent christian.","a senior editor at the new republic has published a column on the internet that deplores the violence in the film ''kill bill'' and criticizes harvey weinstein, the co-chairman of miramax, which released the film, and michael eisner, chairman of the walt disney company, as ''jewish executives'' who ''worship money above all else.''    the article by the senior editor, gregg easterbrook, appeared monday on the new republic's web site. within the site, mr. easterbrook has his own ''easterblogg'' column."
"in 1713, when he was only 25 years old, alexander pope assumed a momentous risk. but there has been a rejection of that rejection. the thing that best distinguishes this from all other translations of homer is that it alone equals the original in its ceaseless pour of verbal music. when pope's contemporaries praised him for his ''numbers,'' they were referring not to the fairly obvious metrical system of the heroic couplet but to the euphony he achieved within its constraints. the relatively enclosed nature of the system concentrates attention on every syllable in the line, on continual shifts in the position and degree of pause marked by metrical breaks (caesuras), on sound effects used to emphasize the careful alterations in word order. the sputtering rage of achilles is marked by double caesuras and stammering short u sounds (-ious, thus, -rupt-) in this couplet's second line:

here on the monarch's speech achilles broke

and furious thus / and interrupting / spoke. ajax's shield is tough

with sev'n thick folds o'ercast

when a spear hits that shield later on, it must drive through six bull hides

till in the sev'nth it fixed.","in 1713, when he was only 25 years old, alexander pope assumed a momentous risk. barred by his roman catholic religion from the normal apparatus of government and private patronage, he took subscriptions for a large-scale project that filled his life for the next seven years and established his absolute pre-eminence among the poets of his time. the result was a version of homer's ''iliad'' that samuel johnson pronounced the greatest translation ever achieved in english or in any other language.    the romantic age triggered reaction against pope's neo-classical techniques. homer was considered a bard, close to nature, betrayed by the high pomp of england's augustan age. but there has been a rejection of that rejection. the formulaic devices of homer served a highly ritualistic world, with typical scenes of strict protocol for sacrifice, prayer, combat, hospitality and oratory. pope's own formulas no longer look so un-homeric."
"an appeals court ordered tim blixseth, the former billionaire and founder of the luxurious yellowstone club ski and golf resort, to remain in a montana jail on his birthday while it reviews a lower court order to hold him in contempt until he accounts for millions of dollars he owes creditors.","an appeals court ordered tim blixseth, the former billionaire developer, to remain in a montana jail on his birthday while it reviews a lower court order to hold him in contempt."
"cambridge — ask charlie kohlhase a question about jazz history. “i grew up at a time when people were really interested in free jazz. russ gershon, leader of the either/orchestra, which kohlhase has played with as a sideman for many years, says his friend’s catholic listening interests inform his playing but don’t cramp his creativity. “ depending on availability, the group may grow from three to nine players. “the way i program the music with my band is kind of like a radio program. but it’s very comfortable in his band,” hofbauer says. at rehearsals, he adds, there’s plenty of laughter and personal catch-up time. “ that’s a clever way to run a band — to keep it fun like it’s a hang, but to get creative work done where everyone's contributing.”","ask charlie kohlhase a question about jazz history. if you’re wondering about, say, an obscure studio session from the 1960s, there’s a good enough chance he’ll have a copy of it in his home collection, which numbers over 10,000 lps and a few thousand more cds. kohlhase—a saxophonist, songwriter, educator and radio host who has led various free-jazz-minded ensembles in the area since 1980—achieved his stature as the boston area’s walking encyclopedia of jazz simply by listening to, and playing, lots of music. a native of portsmouth, new hampshire, he hung around unh for eight years, but not in the classrooms—he started djing on college radio while still a sophomore in high school. he brings his explorer’s club trio to outpost 186 on thursday."
"one of the ritualistic sounds of the artistic summer season was heard yesterday with the announcement of the shortlist for the turner prize - the sound of critics sharpening their knives. the candidates for the £20,000 prize include a woman who once cast an entire north london bedroom in plaster and a vietnamese-born installation sculptor whose work has featured streams of rice being poured over snapshots of his family. in the running this year are:

rachel whiteread, nominated for the continuing development of her work as shown in exhibitions at the stedelijk van abbemuseum, eindhoven, the sydney biennale, and her recent exhibition at galerie burrus, paris. i wanted to give certain spaces an authority they'd never had,"" she said. her bed pieces, cast in rubber, are clearly places of sexual encounter, birth and death. he also speaks of creating a 'compressed experience' in which paint and image work together. born in 1956, collins now lives and works in barcelona.","one of the ritualistic sounds of the artistic summer season was heard yesterday with the announcement of the shortlist for the turner prize - the sound of critics sharpening their knives. the candidates for the £20,000 prize include a woman who once cast an entire north london bedroom in plaster and a vietnamese-born installation sculptor whose work has featured streams of rice being poured over snapshots of his family."
"before you go, we thought you'd like these...

happy monday and welcome to your am daily buzz! check out the hottest stories happening right now! check out our

with her must-see halloween costume! all eyes might have been on heidi klum's curvalicious jessica rabbit costume at the ""project runway"" host's annual halloween soiree, but model shanina shaik looked just like rihanna's twin in her spot-on costume. with so many kim k. looks to choose from, fans had a field day on halloween.","heidi klum's amazing halloween costume, taylor swift and idina menzel sing on stage and more from your am daily buzz!"
"an 81-year-old man from the finger lakes region became the first new yorker to die this year from the west nile virus. that patient, an 86-year-old woman from the pelham gardens section of the bronx, became ill aug.","an 81-year-old man from the finger lakes region became the first new yorker to die this year from the west nile virus. the schuyler county man, whose name was not released, was hospitalized aug. 8 with symptoms of encephalitis, a swelling of the brain characteristic of the mosquito-borne illness, and died tuesday. ""it's likely this person was infected with a mosquito bite,""state health department spokeswoman kristine smith"
