prediction,actual
"the miami dolphins are the top team in professional football, according to the new york times's first computer ranking of the season. the ranking is determined by a formula in which each game is analyzed as to who won and lost, by what margin and how strong the teams were according to their past performances. further, recent games a team has played carry more weight than earlier results. the times began its ratings last season, at the end of which the dolphins, with a record of 8-8, were ranked 18th. upward movement comes with difficulty in the league, so the dolphin climb is a tribute to coach don shula's young team, which takes on the jets sunday in miami. the victories and losses of any given team have been deducted from its opponents' composite record.","the miami dolphins are the top team in professional football, according to the new york times's first computer ranking of the season. after the dolphins come the philadelphia eagles and the dallas cowboys, the league's two other undefeated teams.   the ranking is determined by a formula in which each game is analyzed as to who won and lost, by what margin and how strong the teams were according to their past performances. further, recent games a team has played carry more weight than earlier results."
"san salvador, march 4— president jose napoleon duarte of el salvador said today that no ''preparations'' had been made for negotiations with the leaders of the leftist guerrillas. sources close to the president said that a trip to west germany he had planned for the weekend had been canceled, apparently out of fear of a right-wing coup. the concern over a coup was raised yesterday when roberto d'aubuisson, a former army intelligence major who still commands the loyalty of a number of right-wing officers, denounced any negotiations between the governing junta and the leftist guerrillas and strongly hinted that a coup might be attempted this month. d'aubuisson said that he had the impression that the administration would not oppose a military takeover. they have promised elections for next year. chapin said: ''we support the government of el salvador in its move to implement existing reforms. no fire was returned and the truck continued around the circle and left. duarte was careful today not to rule out a future trip to europe, saying, ''up to this moment i have not made any decision.'' ''i cannot go at this moment,'' he said, ''unless it would be absolutely necessary.''","president jose napoleon duarte of el salvador said today that no ''preparations'' had been made for negotiations with the leaders of the leftist guerrillas.   sources close to the president said that a trip to west germany he had planned for the weekend had been canceled, apparently out of fear of a right-wing coup.   at the same time, the united states embassy issued a statement opposing any attempt at a coup. the comment came after the embassy was the target of shots fired from a passing truck."
"a yearlong study by the community service society of new york has concluded that the problem of homeless people on the streets of the city has ''reached such extraordinary proportions'' that emergency housing must be set up. the study, to be made public tomorrow, says government agencies have failed to face the problem of the homeless and have made it even worse with the state's program of discharging many patients from mental institutions into communities. the homeless are found in almost every part of the city. sometimes they are seen shuffling along the streets or crouched in doorways seeking temporary shelter from wind and rain. ''advocacy groups do not think there is any limit on the amount of money government can spend,'' he said. '' there are some people who choose not to come to the shelters,'' he said.","a yearlong study by the community service society of new york has concluded that the problem of homeless people on the streets of the city has ''reached such extraordinary proportions'' that emergency housing must be set up.   the study, to be made public tomorrow, says government agencies have failed to face the problem of the homeless and have made it even worse with the state's program of discharging many patients from mental institutions into communities.   the homeless are found in almost every part of the city. sometimes they are seen shuffling along the streets or crouched in doorways seeking temporary shelter from wind and rain. they inhabit the bus and railroad stations and subways until they are chased away by the police."
"bonn at the economic summit meeting of western leaders here in 1978, west germany staunchly resisted calls for it to use its head of economic steam like a locomotive to tug europe's lagging economies out of the recession that the oil crisis of 1974 had induced. to be sure, 1980 began well for west germany. in the second quarter, however, the pace slackened. orders from overseas dried up as developing countries spent their money for oil rather than for turnkey plants from west germany. but in 1980, a combination of slackened exports, sharply increased payments for imports - among other things, for costly oil - enormous outlays by german tourists abroad, and huge overseas industrial investment swelled the deficit to $14.2 billion, after a $5.4 billion deficit in 1979, and reduced the current account to a shambles. his remarks were likely prompted by predictions by some economists who were saying that economic activity could shrink by as much as 1.5 percent over the year. in the meantime, the planes to the resorts on tenerife remain booked up.","bonn at the economic summit meeting of western leaders here in 1978, west germany staunchly resisted calls for it to use its head of economic steam like a locomotive to tug europe's lagging economies out of the recession that the oil crisis of 1974 had induced.   by the end of 1980, however, germany's politicians and industrialists would have been flattered if anyone had asked them to play locomotive. with the cost of oil still climbing and europe's economies locked in another downturn, west germany, too, had run out of steam and its leaders were becoming increasingly pessimistic about 1981.   most people remain convinced that germany is still one of the line's heavier pieces of rolling stock, but they also have came to realize that it is not immune to the economic difficulties that plague other industrialized nations."
"the new broadway season is barely out of the starting gate, but it's not a minute too early to start thinking about contenders for next season. in the midst of it,'' he says, ''i got an assignment from the houston grand opera to do 'carmen.' raposo will give their full attention to ''it's a wonderful life.'' bob gunton, the original juan peron in ''evita,'' is coming back to new york in amlin gray's ''how i got that story,'' which deals with the vietnam war. harold defelice and louis scheeder, the producers, plan to open ''how i got that story'' off broadway in early december. robert allan ackerman is directing the production. there are not enough good asian actors here,'' mr. i don't think the theater should be used to exploit political causes. so often you end up with a pamphlet on the stage instead of the human condition. previously she had been leading lady of the original production of ''hair'' at the public theater. since ''promises,'' she has worked mostly in regional theaters and summer stock. '' i'm engaged to philip jones, a painter, and i've never been happier.' tonight ''evita'' begins its third year at the broadway theater. he will portray lester young, the jazz saxophonist. both productions begin performances on oct.","the new broadway season is barely out of the starting gate, but it's not a minute too early to start thinking about contenders for next season. that is what sheldon harnick and joseph raposo are doing. they are working on a musical adaptati on of ''it's a wonderfullife,'' frank capra's 1946 film that starred james stewart as an amiable chap who is foiled in his attempt to break out of his smalltown life. mr. harnick is writing the bo ok and lyrics, and mr.  raposo, the music. the producers are mary jo slater and eugene wolsk.   mr. harnick, the lyricist for ''fiddler on the roof,'' reports that he and mr. raposo have been working on ''it's a wonderful life'' for nearly two years, but not solidly. ''in the midst of it,'' he says, ''i got an assignment from the houston grand opera to do 'carmen.' it opened last january. and joe did the score for 'the great muppet caper' movie.''   mr. harnick has also been working on another new musical, ''a christmas carol,'' which will open in wilmington, del., in november with richard kiley as scrooge. after that, he and mr. raposo will give their full attention to ''it's a wonderful life.'' theoretically, mr. harnick could have two shows on broadway next season, for ''a christmas carol'' is scheduled to tour the country for a year and then open in new york."
25— arlington park race officials denied today published reports that an influenza virus was spreading through the track's barns and might affect sunday's running of the arlington million. premio nobel of chile had a temperature of 103 degrees yesterday and the owner carlos hirmas decided today to scratch his horse.,arlington park race officials denied today published reports that an influenza virus was spreading through the track's barns and might affect sunday's running of the arlington million.
"east rutherford youngsters squealed with laughter as the first contingent of clowns chased each other in mock fury to the accompaniment of the circus band. minutes later, they sat in awe as the full circus cast took center stage. i was young, single and with no obligations. each is a different troupe, and they alternate routes and cities during the season. it has to be one of the most exciting occupations in the world,''

together with his wife, 14-year-old son and two assistants, mr. artists, stagehands and animal keepers - more than 300 travel with the circus from city to city - were nearly unanimous in their praise of the new arena and said they hoped the new jersey engagement would become an annual event. ''performers even get their own dressing rooms. ''i'll tell you one thing: this beats going to new york city for the circus by a country mile.''","east rutherford youngsters squealed with laughter as the first contingent of clowns chased each other in mock fury to the accompaniment of the circus band. minutes later, they sat in awe as the full circus cast took center stage.   this was the 111th edition of the ringling brothers and barnum & bailey circus and it was the first time the circus had given regularly scheduled performances in new jersey. the run, at the brendan t. byrne arena here, will end tuesday."
"by christopher lehmann-haupt how life imitates the world series. why do the baltimore orioles win more games than any other team? ( it is commonplace, but essential, to note that the longest home runs, the best outfield catches, the grandest infield pirouettes are almost always displayed in batting practice. boswell, who writes for the washington post and is a contributing editor of inside sports, may not get off the cleverest or most graceful lines in the world. and if, as an undergraduate at amherst, you happen to have beaten david eisenhower for the college stickball championship, you are obliged to come up with a better punch line than ''i always said you couldn't learn real stickball on the south lawn.'' did you know that it may have been a ''hanging spitter'' that the yankees' bucky dent hit off boston's mike torrez to win the 1978 american league east playoff game, which mr. is there a better way to sum up little league baseball than mr. it suggests that dave kingman is given more than his due.","by christopher lehmann-haupt how life imitates the world series. by thomas boswell. 296 pages. doubleday. $14.95.   you could say that thomas boswell's ''how life imitates the world series'' is an obvious sort of baseball book because its pieces answer many of the questions that seem obvious to anyone who follows the game closely. why do the baltimore orioles win more games than any other team? (short answer: they have earl weaver to manage them.) why did bill veeck used to consume four packs of cigarettes and a case of beer a day? (with oscar wilde, he believed that ''the only way to get rid of a temptation is to yield to it.'')"
"the latest advertising incursion into previous ad-free areas of print is the sponsored comic strip, according to editor & publisher. the first panel in the five-panel feature called plumb loco carries a ''brought to you by...'' introduction much like a 10-second i.d.","the latest advertising incursion into previous ad-free areas of print is the sponsored comic strip, according to editor & publisher."
"also: microsoft may back dell buyout; reid hoffman on hiring a “professional” ceo. and silver lake has been working with dell’s founder, michael s. dell, who is expected to contribute his nearly 16 percent stake in the company to a takeover bid. i went all digital on taking photos and buying music years ago; all digital on buying books last year. if, why, and how founders hould hire a “professional” ceo [reid hoffman’s blog]

to be a successful growth-stage ceo, you need to be ready to manage a 1,000 person organization and devote substantial time to time consuming things like running meetings and other business process. sign up now to get today in tech emailed every morning.","also: microsoft may back dell buyout; reid hoffman on hiring a ""professional"" ceo.  the no-hire paper trail steve jobs and eric schmidt didn't want you to see [the verge] in his statement, colligan says he received a call from jobs in august of 2007, expressing concern about palm’s hiring of apple employees. he goes on to…"
"san francisco--(business wire)-- gap inc. ( on a constant currency basis, august 2015 net sales were flat compared with last year. this is done to enhance the visibility of underlying sales trends, excluding the impact of foreign currency exchange rate fluctuations. ’s sales performance is available by calling 1-800-gap-news (1-800-427-6397).","san francisco---- gap inc. today reported that net sales for the four-week period ended august 29, 2015 decreased 3 percent to $1.20 billion compared with net sales of $1.23 billion for the four-week period ended august 30, 2014. on a constant currency basis, august 2015 net sales were flat compared with last year. “we’ re pleased that old navy delivered another..."
"ingeñuity is a content and experiential event firm that creates, designs and produces groundbreaking signature platforms connecting the world's most recognizable brands to people experiences, the three founders announced today. corporate brands working with ingeñuity created or produced content and events are macy's, southwest airlines and the los angeles times to name a few.","new branded content& experiential agency unites corporate pioneer sol trujillo with latinpointe’ s david and sarah chavez. ingeñuity to launch a series of ""people-connecting"" platforms including a national speakers bureau and a multi-city tour with soledad o'brien. kansas city, kan.---- in a move reflective of the changing demographics where the power of..."
"sept 1 (reuters) - twenty-first century fox inc's fox news channel scored the highest prime-time ratings among all basic cable television networks in august, according to nielsen data, led by the republican presidential candidates' debate and anchor megyn kelly's ""the kelly file.""","sept 1- twenty-first century fox inc's fox news channel scored the highest prime-time ratings among all basic cable television networks in august, according to nielsen data, led by the republican presidential candidates' debate and anchor megyn kelly's ""the kelly file."" fox news channel's total viewers rose 34 percent to average roughly 2.4 million from a year..."
"stocks closed higher on wednesday as investors eyed better-than-expected data and remained optimistic on resolution between greece and its creditors. ( stocks advanced despite prime minister alexis tsipras' statements the country will go ahead with the referendum on sunday and that it is not a determinant of whether or not greece remains in the euro zone, reuters reported. the nasdaq composite also briefly jumped 1 percent as apple advanced and biotechs gained. adp confirms what we saw all along and i think tomorrow's jobs report is strong."" it doesn't look like anything significant is going to happen between now and the referendum,"" said jason leinwand, managing director of riverside risk advisors. "" the eurogroup of regional finance ministers concluded a conference call wednesday on greece's latest proposal. ""good economic data is being taken as good news for markets,"" said kate warne, investment strategist a edward jones. "" i think investors are still concerned the greece vote could be a 'no.'",u.s. stocks closed higher as investors eyed better-than-expected data and remained optimistic on a deal between greece and its creditors.
"photo: gregory shamus, getty images

cleveland, oh - december 6: austin davis #7 of the cleveland browns throws a first quarter pass while playing the cincinnati bengalsat firstenergy stadium on december 6, 2015 in cleveland, ohio. ( wide receiver to do it since john taylor (1989).","facts and figures from 49ers’ win over the bears  sunday’s win featured a large number of firsts:  having won on the road for the first time this season, the 49ers probably will be favored to make it two in a row when they play the browns in cleveland on sunday.  austin davis, left, got the start for the browns over johnny manziel in sunday’s 37-3 loss to the bengals, which dropped cleveland to 2-10.  noteworthy stats from sunday’s game:  tackles by linebacker navorro bowman — the fifth time in the past eight games that he’s had at least 10.  td catches of 70-plus yards for torrey smith this year, the first s.f.  wide receiver to do it since john taylor (1989)."
"photo: scott strazzante, the chronicle

lb wilhoite signs one-year deal to stay with 49ers

niners inside linebacker michael wilhoite, a restricted free agent, has signed his one-year qualifying offer from the team and will aim to assume a starting role for the third straight season. the move wasn’t a surprise: wilhoite was participating in the offseason program before signing the deal. wilhoite, 29, had 85 tackles and one interception in 12 starts last year before he was sidelined with a season-ending ankle injury.","niners inside linebacker michael wilhoite, a restricted free agent, has signed his one-year qualifying offer from the team and will aim to assume a starting role for the third straight season.  wilhoite, 29, had 85 tackles and one interception in 12 starts last year before he was sidelined with a season-ending ankle injury.  in 2014, when bowman was sidelined with a knee injury, wilhoite replaced him and had 87 tackles and two interceptions.  in october, the 49ers traded a sixth-round pick and center nick easton to the vikings for hodges, who had 39 tackles in four starts after wilhoite was injured.  the 49ers did not select an inside linebacker any of their 11 draft picks."
"charter communications is nearing an agreement with banks to raise funds for a bid for time warner cable, the wall street journal reported, citing people familiar with the situation. earlier this month reuters reported that charter was weighing a bid for time warner cable before the end of the year, hoping to persuade the larger cable operator to sell after rejecting an earlier overture.","charter communications is nearing an agreement with banks to raise funds for a bid for time warner cable, according to a report."
"swift, the global financial network that banks use to transfer billions of dollars every day, warned its customers on monday that it was aware of “a number of recent cyber incidents” where attackers had sent fraudulent messages over its system. the disclosure came as law enforcement authorities in bangladesh and elsewhere continued to investigate the february cyber theft of $81 million from a bangladesh bank account at the new york federal reserve bank. “swift is aware of a number of recent cyber incidents in which malicious insiders or external attackers have managed to submit swift messages from financial institutions’ back-offices, pcs or workstations connected to their local interface to the swift network,” the group warned customers on monday in a notice seen by reuters. swift told customers that the security update must be installed by may 12.",the malware was probably used by hackers in the bangladesh bank heist.
"scarlett johansson says dylan farrow was ""irresponsible"" in naming her in an open letter that slammed the film industry for its silence over claims she was sexually abused by woody allen. ""i think he'll continue to know what he knows about the situation, and i'm sure the other people involved have their own experience with it."" farrow's letter to the new york times said that: ""(w)hen i was 7 years old, woody allen took me by the hand and led me into a dim, closet-like attic on the second floor of our house."" and that memory is never going to go away,"" he told the today show.","scarlett johansson says dylan farrow was ""irresponsible"" in naming her in an open letter that slammed the film industry for its silence over claims she was sexually abused by woody allen."
"the answer is maybe -- but they can't do anything that you couldn't do yourself, for free. under the federal credit repair organizations act, credit repair companies need to provide a detailed written contract about the services they'll perform, include a three-day right to cancel without charge, state how long it will take to see results, disclose the total cost to you and outline any guarantees. before you hire anyone, remember this: the sad truth is that accurate negative information stays on your report for seven years. no credit repair company can get rid of that. send it by certified mail, return receipt requested. some creditors are willing to look at your more recent credit history, so as long as you keep showing improvement, a past problem might not set you back. if you're still struggling, consider using a non-profit credit counseling service to get back on track.","the answer is maybe -- but they can't do anything that you couldn't do yourself, for free."
"filing for unemployment benefits can be tricky. some states, such as california, at least try to make it easy with various ways to file. remember that each state sets its own laws on such things, so these suggested terms may not work everywhere. this is basically the same as a layoff, and puts the burden of proof on the employer. misconduct means gross misconduct which harms the employer's business. on the other hand, a claimant may receive benefits if they quit due to unlawful job harassment."" misconduct by the employee won't lead to unemployment benefits, so there's no sense in fighting it, but if you did nothing wrong, then you can still get fired and claim benefits. ""i wouldn't fall for it,"" she said of employers trying to entice people to quit. "" that's because the burden of proof for getting benefits is on the worker if they quit, and on the employer if discharged. even if the firing is justified, it could still be based on nothing bad on the employee's part.","filing for unemployment benefits can be tricky. if you're lucky and haven't lost your job before, it can be a difficult proce  to wade through the red tape. some states, such a"
"toto, i’ve a feeling we’re not in alicia-ville anymore. i’m betting that at some point during the first hour of “braindead,” which is from the makers of “the good wife,” you’ll have a major “what the what?” if nothing else, this new cbs show is unique.","”braindead” is an interesting and ambitious effort to blend political dealings with alien horrors. sometimes it works, sometimes it doesn’t."
"16— a senior editor at the new republic has published a column on the internet that deplores the violence in the film ''kill bill'' and criticizes harvey weinstein, the co-chairman of miramax, which released the film, and michael eisner, chairman of the walt disney company, as ''jewish executives'' who ''worship money above all else.'' michael eisner, is jewish; the chief of miramax, harvey weinstein, is jewish.'' in a joint disney-miramax statement, matthew hiltzik, a miramax spokesman, said, ''it is sad that these terrible stereotypes persist and that these comments are receiving a wider platform. ''i raised the exact same question about a christian,'' mr.","a senior editor at the new republic has published a column on the internet that deplores the violence in the film ''kill bill'' and criticizes harvey weinstein, the co-chairman of miramax, which released the film, and michael eisner, chairman of the walt disney company, as ''jewish executives'' who ''worship money above all else.''    the article by the senior editor, gregg easterbrook, appeared monday on the new republic's web site. within the site, mr. easterbrook has his own ''easterblogg'' column."
"in 1713, when he was only 25 years old, alexander pope assumed a momentous risk. the result was a version of homer's ''iliad'' that samuel johnson pronounced the greatest translation ever achieved in english or in any other language. but there has been a rejection of that rejection. steven shankman, a professor of english and classics at the university of oregon, eugene, and director of the oregon humanities center, remedies that shameful neglect with a new pope's ''iliad'' (''the iliad of homer translated by alexander pope,'' penguin, $22.95), completely re-editing the poem from pope's last published edition (the twickenham works from the first edition), modernizing the spelling and - most important - including pope's extensive notes, which show how carefully pope weighed the possible meanings of the original. the echo of leap in greek makes us read the line this way:

leaped forth the lot of every greek desired. by omission of the vowel, consonants are crunched together. here hector's chariot breaks through war's congestion (and consonants) to clear a space in the last five words:

and mangled carnage clogs the rapid wheels.","in 1713, when he was only 25 years old, alexander pope assumed a momentous risk. barred by his roman catholic religion from the normal apparatus of government and private patronage, he took subscriptions for a large-scale project that filled his life for the next seven years and established his absolute pre-eminence among the poets of his time. the result was a version of homer's ''iliad'' that samuel johnson pronounced the greatest translation ever achieved in english or in any other language.    the romantic age triggered reaction against pope's neo-classical techniques. homer was considered a bard, close to nature, betrayed by the high pomp of england's augustan age. but there has been a rejection of that rejection. the formulaic devices of homer served a highly ritualistic world, with typical scenes of strict protocol for sacrifice, prayer, combat, hospitality and oratory. pope's own formulas no longer look so un-homeric."
"an appeals court ordered tim blixseth, the former billionaire and founder of the luxurious yellowstone club ski and golf resort, to remain in a montana jail on his birthday while it reviews a lower court order to hold him in contempt until he accounts for millions of dollars he owes creditors.","an appeals court ordered tim blixseth, the former billionaire developer, to remain in a montana jail on his birthday while it reviews a lower court order to hold him in contempt."
"cambridge — ask charlie kohlhase a question about jazz history. 02139 http://www.outpost186.com

it was the record library of wunh that offered his first deep exposure to the music, spurred on by a few slightly older friends who talked up the merits of progressive players like john coltrane and the art ensemble of chicago. the free-thinking musician, who later became an institution on mit’s wmbr-fm (88.1) — where he’s hosted the weekly show “research and development” since 1996 — has made it his business to promote “forward looking jazz,” as he calls it. with his explorer’s club, which kohlhase says he named with an eye toward something “with a boy scout-ish image but also the potential for some subversion,” he presents free-roaming compositions meant to highlight the musical ideas of his collaborators. ( a trio version, with drummer curt newton and bassist matt stavrakas, plays outpost 186 on thursday.) i try and get a variety of different sounds and textures into each set. gershon says he’s borrowed some things from kohlhase’s vast music library, but can name at least one item he hasn’t returned. “i’m 100 percent sure he remembers what it was,” gershon says.","ask charlie kohlhase a question about jazz history. if you’re wondering about, say, an obscure studio session from the 1960s, there’s a good enough chance he’ll have a copy of it in his home collection, which numbers over 10,000 lps and a few thousand more cds. kohlhase—a saxophonist, songwriter, educator and radio host who has led various free-jazz-minded ensembles in the area since 1980—achieved his stature as the boston area’s walking encyclopedia of jazz simply by listening to, and playing, lots of music. a native of portsmouth, new hampshire, he hung around unh for eight years, but not in the classrooms—he started djing on college radio while still a sophomore in high school. he brings his explorer’s club trio to outpost 186 on thursday."
"one of the ritualistic sounds of the artistic summer season was heard yesterday with the announcement of the shortlist for the turner prize - the sound of critics sharpening their knives. apart from the customary arguments over the merit of the work, critics have demanded to know why no woman has ever won the prize, why it is limited to artists under 50 and why damien hirst - famously fond of incorporating rotting animals' heads in his work - has never won. this was a white plaster cast of an entire room - eerily white and deserted. "" vong phaophanit, unexpectedly shortlisted for his installations at the serpentine gallery, aperto at the venice biennale, and killerton park, devon. he also speaks of creating a 'compressed experience' in which paint and image work together. born in 1956, collins now lives and works in barcelona. i would say that my work is both sculptural and pictorial,' she says.","one of the ritualistic sounds of the artistic summer season was heard yesterday with the announcement of the shortlist for the turner prize - the sound of critics sharpening their knives. the candidates for the £20,000 prize include a woman who once cast an entire north london bedroom in plaster and a vietnamese-born installation sculptor whose work has featured streams of rice being poured over snapshots of his family."
"before you go, we thought you'd like these...

happy monday and welcome to your am daily buzz! all eyes might have been on heidi klum's curvalicious jessica rabbit costume at the ""project runway"" host's annual halloween soiree, but model shanina shaik looked just like rihanna's twin in her spot-on costume. two karl lagerfelds are definitely better than one! its hard to tell which ""simple life"" duo is the original. scores of buzz-worthy music videos were released this year -- and perhaps none more talked about than drake's ""hotline bling.""","heidi klum's amazing halloween costume, taylor swift and idina menzel sing on stage and more from your am daily buzz!"
an 81-year-old man from the finger lakes region became the first new yorker to die this year from the west nile virus.,"an 81-year-old man from the finger lakes region became the first new yorker to die this year from the west nile virus. the schuyler county man, whose name was not released, was hospitalized aug. 8 with symptoms of encephalitis, a swelling of the brain characteristic of the mosquito-borne illness, and died tuesday. ""it's likely this person was infected with a mosquito bite,""state health department spokeswoman kristine smith"
